pool_id,Protocol,Chain,Asset,APY (%),TVL ($M),TVL Score,Avg APY 30d,Volatility,Sharpe
df7ccfd1-2642-4d79-851a-a5b07d9b8a97,morpho-v1,Base,GTUSDCP,3.87,64.5,9,,,
0b70c11c-75b6-4faa-a3af-0c17f4b3b38f,morpho-v1,Ethereum,WEETH,0.0,64.0,9,,,
36977448-9ad9-43ea-85f2-60ee1b92ecd0,morpho-v1,Ethereum,BBQUSDC,4.99,63.6,9,,,
24195b31-d749-445f-bf9e-b65aa025ebdd,sparklend,Ethereum,WETH,1.76,63.1,9,,,
eed40ce3-ca1a-4433-b3e1-0689ed33d5cd,morpho-v1,Ethereum,STEAKETH,2.16,59.4,9,,,
23405eee-97e7-4b8e-8625-19c3a36047e8,aave-v3,Base,WETH,1.5,54.1,9,,,
ba68527f-8ec2-4c55-827a-8f4673ae047c,morpho-v1,Base,STEAKUSDC,3.87,53.7,9,,,
9da8a761-eb0f-4d41-ad05-0ebb2ed82913,sparklend,Ethereum,WEETH,0.0,53.2,9,,,
94657e4e-5345-48f0-9132-f7a709e2021e,compound-v3,Ethereum,WETH,0.0,53.0,9,,,
ea033b6e-f4d2-46ef-b609-93b680852a64,morpho-v1,Ethereum,VBGTUSDT,2.78,51.5,9,,,
2bade0af-0dee-410b-88ed-78f17133dad7,morpho-v1,Ethereum,STEAKUSDTBETHENA,1.93,50.1,9,,,
48942ea9-be26-441b-a608-c7f3d57e654a,morpho-v1,Ethereum,SENPYUSDCORE,2.17,50.1,9,,,
152a52f1-5434-4a55-9c69-6fa60cf23174,morpho-v1,Ethereum,SENPYUSDCOREV2,2.22,50.1,9,,,
0f25159f-753d-4eef-84f5-1f9b47394033,morpho-v1,Ethereum,GTUSDTF,2.82,48.4,8,,,
eaa7b496-512f-442f-be1f-9d8909442e53,morpho-v1,Ethereum,GTWETH,1.8,47.6,8,,,
ce14c4f9-26d5-441e-8ae5-a125cb72cd8f,morpho-v1,Ethereum,VBGTWETH,2.71,45.7,8,,,
c743eac6-1906-4d96-a7aa-667426ec3cc7,morpho-v1,Ethereum,BBQUSDT,3.46,44.4,8,,,
361f0a3c-6adb-4b1c-bf35-f9cd79f2341c,aave-v3,Base,WSTETH,0.0,43.2,8,,,
71b34441-5a46-431b-a9b3-8c081cd0d74c,morpho-v1,Ethereum,GTUSDCP,2.57,38.5,8,,,
85c57261-b75b-4447-a115-d79b1a7de8ed,compound-v3,Ethereum,ETH,1.63,36.0,8,,,
fdbe85f6-71be-4e9c-9dd3-256b24d22a95,morpho-v1,Arbitrum,BBQUSDT0,2.52,35.9,8,,,
940650fd-f695-4178-b438-cc52a7cd59e9,morpho-v1,Arbitrum,BBQUSDT0,2.19,35.8,8,,,
c57cefe1-76a6-42e2-9020-10af388c32e8,sparklend,Ethereum,EZETH,0.0,35.3,8,,,
bace601a-530a-432c-9b79-8c6451de25ea,spark-savings,Ethereum,ETH,1.75,31.6,8,,,
2ee0b92f-49ed-4cc1-83b6-3c63357f50d6,morpho-v1,Ethereum,WEETH,0.0,30.7,8,,,
8751078b-6be1-403b-ac44-9f11fe87d400,sparklend,Ethereum,RETH,0.0,30.6,8,,,
25a745d7-749f-4a70-9b94-543351cce638,compound-v3,Ethereum,WEETH,0.0,30.6,8,,,
d7c8dc33-235e-4d08-94e9-8b72c2500d0d,morpho-v1,Ethereum,VBSHUSDC,2.43,30.3,8,,,
3665ee7e-6c5d-49d9-abb7-c47ab5d9d4ac,aave-v3,Ethereum,DAI,2.64,28.6,8,,,
1b2ca876-3a09-4261-a685-7818260bdc67,morpho-v1,Ethereum,STEAKETH,1.72,25.7,8,,,
8099741a-e1d5-49f0-ba9d-bc1ddbe72175,morpho-v1,Arbitrum,SYRUPUSDC,0.0,24.7,8,,,
c24f5e4d-ff3a-47a9-ae26-96bd5d02f7e0,aave-v3,Ethereum,EZETH,0.0,23.9,8,,,
f8d7740c-4cef-420e-a944-1b7caffde643,morpho-v1,Ethereum,BBQUSDC,5.21,23.8,8,,,
c13f1940-9965-4eee-b7e8-af785591ceda,morpho-v1,Arbitrum,BBQUSDC,3.8,20.7,8,,,
